,geo_value,time_value,direction,value,stderr,sample_size
224,06077,20200516,0,1.4432892299134,,
225,06079,20200516,0,1.0596550469604,,
226,06081,20200516,0,3.5221694476586,,
227,06083,20200516,0,6.9429046873565,,
228,06085,20200516,0,1.4005224467438,,
229,06087,20200516,0,2.9281183545439,,
230,06089,20200516,0,0.0,,
231,06091,20200516,0,0.0,,
232,06093,20200516,0,0.0,,
233,06095,20200516,0,0.44678460290901,,
234,06097,20200516,0,2.6297902641119,,
235,06099,20200516,0,3.9952057530963,,
236,06101,20200516,0,0.0,,
237,06103,20200516,0,1.5364759387868,,
238,06105,20200516,0,0.0,,
239,06107,20200516,0,18.876221323695,,
240,06109,20200516,0,0.0,,
241,06111,20200516,0,0.0,,
242,06113,20200516,0,0.45351473922902,,
243,06115,20200516,0,0.0,,
244,08001,20200516,1,10.629642012984,,
245,08003,20200516,0,6.1602907657241,,
246,08005,20200516,0,10.508841133736,,
247,08007,20200516,0,0.0,,
248,08009,20200516,0,0.0,,
249,08011,20200516,-1,0.0,,
250,08013,20200516,0,3.0656415161437,,
251,08014,20200516,0,2.8382885120272,,
252,08015,20200516,0,0.0,,
253,08017,20200516,0,0.0,,
254,08019,20200516,0,10.309278350515,,
255,08021,20200516,0,0.0,,
256,08023,20200516,0,0.0,,
257,08025,20200516,0,0.0,,
258,08027,20200516,0,0.0,,
259,08029,20200516,0,3.2090366471985,,
260,08031,20200516,1,13.201120445098,,
261,08033,20200516,0,0.0,,
262,08035,20200516,0,1.4238767036685,,
263,08037,20200516,1,7.2559725724237,,
264,08039,20200516,1,7.4825096337312,,
265,08041,20200516,1,5.5524477271749,,
266,08043,20200516,0,0.0,,
267,08045,20200516,0,0.0,,
268,08047,20200516,1,16.017940092904,,
269,08049,20200516,0,0.0,,
270,08051,20200516,0,0.0,,
271,08053,20200516,0,0.0,,
272,08055,20200516,0,0.0,,
273,08057,20200516,0,0.0,,
274,08059,20200516,0,4.2890401299751,,
275,08061,20200516,0,0.0,,
276,08063,20200516,1,0.0,,
277,08065,20200516,1,24.609326934908,,
