,geo_value,time_value,direction,value,stderr,sample_size
85,21111,20200514,0.0,0.3500572200468,0.49813908506231,131.9682
86,22000,20200514,0.0,0.77656842362725,0.22368072844434,852.4738
87,22033,20200514,,0.45620497029562,0.64265057015368,103.5258
88,22051,20200514,,0.86618637533708,0.95275652550488,116.0
89,22071,20200514,,1.8455076262273,1.1105798118285,123.0
90,23000,20200514,0.0,0.42410714285714,0.28116472560799,431.0
91,23005,20200514,0.0,0.0,0.42041104155677,118.0
92,24000,20200514,-1.0,0.12345932985548,0.098385457112518,562.2901
93,24031,20200514,1.0,0.17302536966257,0.30982386001647,167.2192
94,24033,20200514,0.0,0.28373699290339,0.40658993517194,150.4828
95,25000,20200514,0.0,0.11261788529316,0.11530702046155,567.5365
96,25013,20200514,0.0,0.0,0.36439789504195,136.0018
